Sentence,Tokens,Lemmas,POS,Chapter,Labels
"— Когда он приехал на Линию, я был подпоручиком, — прибавил он, — и при нем получил два чина за дела против горцев.","когда;он;приехал;на;линию;я;был;подпоручиком;, — ;прибавил;он;, — ;и;при;нем;получил;два;чина;за;дела;против;горцев","когда;он;приезжать;на;линия;я;быть;подпоручик;, — ;прибавлять;он;, — ;и;при;он;получать;два;чин;за;дело;против;горец",CONJ;SPRO;V;PR;S;SPRO;V;S;;V;SPRO;;CONJ;PR;SPRO;V;NUM;S;PR;S;PR;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
— А теперь вы?..,а;теперь;вы;?..,а;теперь;вы;?..,CONJ;ADV;SPRO;,Герой нашего времени. Часть 1. Бэла.,0;0;0;0
— Теперь считают в третьем линейном батальоне.,теперь;считают;в;третьем;линейном;батальоне,теперь;считать;в;третий;линейный;батальон,ADV;V;PR;ANUM;A;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0
"А вы, смею спросить?..",а;вы;смею;спросить;?..,а;вы;сметь;спрашивать;?..,CONJ;SPRO;V;V;,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0
Я сказал ему.,я;сказал;ему,я;сказать;он,SPRO;V;SPRO,Герой нашего времени. Часть 1. Бэла.,0;0;0
"Разговор этим кончился, и мы продолжали молча идти друг подле друга.",разговор;этим;кончился;и;мы;продолжали;молча;идти;друг;подле;друга,разговор;это;кончаться;и;мы;продолжать;молча;идти;друг;подле;друг,S;SPRO;V;CONJ;SPRO;V;ADV;V;S;PR;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0
На вершине горы нашли мы снег.,на;вершине;горы;нашли;мы;снег,на;вершина;гора;находить;мы;снег,PR;S;S;V;SPRO;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0
"Солнце закатилось, и ночь последовала за днем без промежутка, как это обыкновенно бывает на юге; но, благодаря отливу снегов, мы легко могли различать дорогу, которая всё еще шла в гору, хотя уже не так круто.",солнце;закатилось;и;ночь;последовала;за;днем;без;промежутка;как;это;обыкновенно;бывает;на;юге;но;благодаря;отливу;снегов;мы;легко;могли;различать;дорогу;которая;всё;еще;шла;в;гору;хотя;уже;не;так;круто,солнце;закатываться;и;ночь;последовать;за;день;без;промежуток;как;это;обыкновенно;бывать;на;юг;но;благодаря;отлив;снег;мы;легко;мочь;различать;дорога;который;все;еще;идти;в;гора;хотя;уже;не;так;круто,S;V;CONJ;S;V;PR;S;PR;S;CONJ;SPRO;ADV;V;PR;S;CONJ;PR;S;S;SPRO;ADV;V;V;S;APRO;SPRO;ADV;V;PR;S;CONJ;ADV;PART;ADVPRO;ADV,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Я велел положить чемодан свой в тележку, заменить быков лошадьми и в последний раз оглянулся вниз на долину, — но густой туман, нахлынувший волнами из ущелий, покрывал ее совершенно, и ни единый звук не долетал уже оттуда до нашего слуха.","я;велел;положить;чемодан;свой;в;тележку;заменить;быков;лошадьми;и;в;последний;раз;оглянулся;вниз;на;долину;, — ;но;густой;туман;нахлынувший;волнами;из;ущелий;покрывал;ее;совершенно;и;ни;единый;звук;не;долетал;уже;оттуда;до;нашего;слуха","я;велеть;полагать;чемодан;свой;в;тележка;заменять;бык;лошадь;и;в;последний;раз;оглянуться;вниз;на;долина;, — ;но;густой;туман;нахлынуть;волна;из;ущелие;покрывать;она;совершенно;и;ни;единый;звук;не;долетать;уже;оттуда;до;наш;слух",SPRO;V;V;S;APRO;PR;S;V;S;S;CONJ;PR;A;S;V;ADV;PR;S;;CONJ;A;S;V;S;PR;S;V;SPRO;ADV;CONJ;PART;A;S;PART;V;ADV;ADVPRO;PR;APRO;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Осетины шумно обступили меня и требовали на водку; но штабс-капитан так грозно на них прикрикнул, что они вмиг разбежались.",осетины;шумно;обступили;меня;и;требовали;на;водку;но;штабс-капитан;так;грозно;на;них;прикрикнул;что;они;вмиг;разбежались,осетин;шумно;обступать;я;и;требовать;на;водка;но;штабс-капитан;так;грозно;на;они;прикрикивать;что;они;вмиг;разбегаться,S;ADV;V;SPRO;CONJ;V;PR;S;CONJ;S;ADVPRO;ADV;PR;SPRO;V;CONJ;SPRO;ADV;V,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
* Ермолове.,ермолове,ермолов,S,Герой нашего времени. Часть 1. Бэла.,0
(Примеч.,примеч,примеч,S,Герой нашего времени. Часть 1. Бэла.,0
Лермонтова.),лермонтова,лермонтов,S,Герой нашего времени. Часть 1. Бэла.,0
— Ведь этакой народ!,ведь;этакой;народ,ведь;этакий;народ,PART;APRO;S,Герой нашего времени. Часть 1. Бэла.,0;0;0
"— сказал он: — и хлеба по-русски назвать не умеет, а выучил: «офицер, дай на водку!».",сказал;он;: — ;и;хлеба;по-русски;назвать;не;умеет;а;выучил;: «;офицер;дай;на;водку,сказать;он;: — ;и;хлеб;по-русски;называть;не;уметь;а;выучивать;: «;офицер;давать;на;водка,V;SPRO;;CONJ;S;ADV;V;PART;V;CONJ;V;;S;V;PR;S,Герой нашего времени. Часть 1. Бэла.,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
